Achievement:name:LevelProgress_40	新手入门	Newbie Guide	Anfängerleitfaden	新手入門	初心者ガイド	Guía para principiantes	Руководство для новичков	초보자 안내
Achievement:description:LevelProgress_40	新手入门	Beginner's Guide	Anfängerleitfaden	新手入門	初心者ガイド	Guía para principiantes	Руководство для новичков	초보자 안내
Achievement:name:LevelProgress_70	登堂入室	Enter the room	Betreten Sie den Raum	登堂入室	門をくぐる	Entrar en la habitación	Вход в комнату	문턱 넘기기
Achievement:description:LevelProgress_70	登堂入室	Enter the room	Betreten Sie den Raum	登堂入室	門をくぐる	Entra en la habitación	Войдите в комнату	문턱 넘기기
Achievement:name:Win_1	胜利！	Victory!	Sieg!	勝利！	勝利!	¡Victoria!	Победа!	승리!
Achievement:description:Win_1	胜利！	Victory!	Sieg!	勝利！	勝利!	¡Victoria!	Победа!	승리!
Achievement:name:Win_5	胜利！5次	Victory! 5 times	Sieg! 5 Mal	勝利！5次	勝利! 5回	¡Victoria! 5 veces	Победа! 5 раз	승리! 5번
Achievement:description:Win_5	胜利！5次	Victory! 5 times	Sieg! 5 Mal	勝利！5次	勝利! 5回	¡Victoria! 5 veces	Победа! 5 раз	승리! 5번
Achievement:name:Win_20	胜利！20次	Victory! 20 times	Sieg! 20 Mal	勝利！20次	勝利! 20回	¡Victoria! 20 veces	Победа! 20 раз	승리! 20번
Achievement:description:Win_20	胜利！20次	Victory! 20 times	Sieg! 20 Mal	勝利！20次	勝利! 20回	¡Victoria! 20 veces	Победа! 20 раз	승리! 20번
Achievement:name:Win_50	胜利！50次	Victory! 50 times	Sieg! 50 Mal	勝利！50次	勝利! 50回	¡Victoria! 50 veces	Победа! 50 раз	승리! 50번
Achievement:description:Win_50	胜利！50次	Victory! 50 times	Sieg! 50 Mal	勝利！50次	勝利! 50回	¡Victoria! 50 veces	Победа! 50 раз	승리! 50번
Achievement:name:Win_99	胜利！99次	Victory! 99 times	Sieg! 99 Mal	勝利！99次	勝利! 99回	¡Victoria! 99 veces	Победа! 99 раз	승리! 99번
